id	map	feature	lang	ref
pms	78a	No grammatical evidentials	Paamese	Crowley 1982
pae	78a	Verbal affix or clitic	Páez	Slocum 1986
pno	78a	Verbal affix or clitic	Paiute (Northern)	Snapp et al. 1982
put	78a	Verbal affix or clitic	Paiute (Southern)	Sapir 1930
pai	78a	Verbal affix or clitic	Paiwan	Egli 1990
plk	78a	No grammatical evidentials	Palikur	Derbyshire 1986
prc	78a	Separate particle	Paresi	Derbyshire 1986
psm	78a	Modal morpheme	Passamaquoddy-Maliseet	Leavitt 1996
ptw	78a	Verbal affix or clitic	Patwin	Whistler 1986b
pau	78a	Separate particle	Paumarí	Chapman and Derbyshire 1991
pwn	78a	Verbal affix or clitic	Pawnee	Parks 1976
pem	78a	No grammatical evidentials	Pemon	de Armellada 1944
prs	78a	Part of the tense system	Persian	Windfuhr 1982
pip	78a	No grammatical evidentials	Pipil	Campbell 1985
prh	78a	Verbal affix or clitic	Pirahã	Everett 1986
pir	78a	Separate particle	Piro	Matteson 1965
pit	78a	Separate particle	Pitjantjatjara	Bowe 1990
ppi	78a	No grammatical evidentials	Pitta Pitta	Blake 1979c
poh	78a	No grammatical evidentials	Pohnpeian	Rehg 1981
pme	78a	Verbal affix or clitic	Pomo (Eastern)	McLendon 1975
pmn	78a	Verbal affix or clitic	Pomo (Northern)	O'Connor 1992
pso	78a	Verbal affix or clitic	Pomo (Southeastern)	Moshinsky 1974
pot	78a	Separate particle	Potawatomi	Hockett 1948
pum	78a	Verbal affix or clitic	Pumi	Sun 1993
pur	78a	Verbal affix or clitic	Purépecha	Foster 1969
qaw	78a	No grammatical evidentials	Qawasqar	Clairis 1985
que	78a	Verbal affix or clitic	Quechan	Halpern 1947
qhu	78a	Verbal affix or clitic	Quechua (Huallaga)	Weber 1989
qim	78a	Verbal affix or clitic	Quechua (Imbabura)	Cole 1982
qui	78a	Verbal affix or clitic	Quileute	Andrade 1933
ram	78a	No grammatical evidentials	Rama	Grinevald n.d.
rap	78a	No grammatical evidentials	Rapanui	Du Feu 1996
ret	78a	Verbal affix or clitic	Retuarã	Strom 1992
rom	78a	No grammatical evidentials	Romanian	Mallinson 1986
rus	78a	No grammatical evidentials	Russian	
rut	78a	Verbal affix or clitic	Rutul	Alekseev 1994b
slr	78a	Part of the tense system	Salar	Dwyer 2000
sba	78a	No grammatical evidentials	Sáliba (in Colombia)	Suarez 1977
san	78a	No grammatical evidentials	Sango	Samarin 1967b
snm	78a	Mixed	Sanuma	Borgman 1990
src	78a	Verbal affix or clitic	Sarcee	Cook 1984
say	78a	No grammatical evidentials	Sayula Popoluca	Clark 1962
slp	78a	No grammatical evidentials	Selepet	McElhanon 1972
sel	78a	No grammatical evidentials	Selknam	Najlis 1973
snt	78a	No grammatical evidentials	Sentani	Cowan 1965
srr	78a	Verbal affix or clitic	Serrano	Hill 1967
she	78a	Verbal affix or clitic	Sherpa	Woodbury 1986
shk	78a	Verbal affix or clitic	Shipibo-Konibo	Valenzuela 1997
shu	78a	Verbal affix or clitic	Shuswap	Kuipers 1974
sin	78a	Verbal affix or clitic	Siona	Wheeler 1987
srn	78a	Verbal affix or clitic	Sirionó	Priest et al. 1961
siu	78a	No grammatical evidentials	Siuslaw	Frachtenberg 1922b
sla	78a	Separate particle	Slave	Rice 1989
spa	78a	No grammatical evidentials	Spanish	Butt and Benjamin 2000
squ	78a	Separate particle	Squamish	Jacobs 1996
sre	78a	No grammatical evidentials	Sre	Manley 1972
sue	78a	Separate particle	Suena	Wilson 1974
sup	78a	No grammatical evidentials	Supyire	Carlson 1994
swa	78a	No grammatical evidentials	Swahili	Ashton 1947
swe	78a	Mixed	Swedish	Dahl 1985
tab	78a	No grammatical evidentials	Taba	Bowden 1997a
tac	78a	Separate particle	Tacana	Ottaviano and Ottaviano 1967
tag	78a	Separate particle	Tagalog	Ramos and Morales Goulet 1981
tkl	78a	Verbal affix or clitic	Takelma	Sapir 1922b
tml	78a	Verbal affix or clitic	Tamil	Asher 1982
twe	78a	Verbal affix or clitic	Tarahumara (Western)	Burgess 1984
tar	78a	Part of the tense system	Tariana	Aikhenvald and Dixon 1998
tsm	78a	No grammatical evidentials	Tasmanian	Crowley and Dixon 1981
tau	78a	No grammatical evidentials	Tauya	MacDonald 1990
tpn	78a	Verbal affix or clitic	Tepehuan (Northern)	Bascom 1982
trn	78a	Verbal affix or clitic	Terêna	Derbyshire 1986
tew	78a	Separate particle	Tewa (Arizona)	Kroskrity 1993
trg	78a	No grammatical evidentials	Tewa (Rio Grande)	Speirs 1966
tha	78a	No grammatical evidentials	Thai	Burusphat 1991
thk	78a	No grammatical evidentials	Thakali	Georg 1996
til	78a	No grammatical evidentials	Tillamook	Edel 1939
tmc	78a	No grammatical evidentials	Timucua	Granberry 1993
twn	78a	Verbal affix or clitic	Tiwa (Northern)	Trager 1946
tws	78a	No grammatical evidentials	Tiwa (Southern)	Leap 1970
tiw	78a	No grammatical evidentials	Tiwi	Osborne 1974
tlp	78a	No grammatical evidentials	Tlapanec	Radin 1935
tli	78a	No grammatical evidentials	Tlingit	Swanton 1911a
ton	78a	Verbal affix or clitic	Tonkawa	Hoijer 1946b
toq	78a	No grammatical evidentials	Toqabaqita	Lichtenberk 1987
txj	78a	No grammatical evidentials	Totonac (Xicotepec de Juárez)	Reid et al. 1968
tru	78a	Separate particle	Trumai	Guirardello 1999a
tsi	78a	Verbal affix or clitic	Tsimshian (Coast)	Boas 1911c
ttu	78a	Mixed	Tsova-Tush	Holisky and Gagua 1994
tuc	78a	Part of the tense system	Tucano	West 1980
tuk	78a	No grammatical evidentials	Tukang Besi	Donohue 1999a
tsh	78a	Separate particle	Tümpisa Shoshone	Dayley 1989a
tnb	78a	No grammatical evidentials	Tunebo	Headland 1997
tun	78a	Verbal affix or clitic	Tunica	Haas 1940
tur	78a	Part of the tense system	Turkish	Aksu-Koç and Slobin 1986
tus	78a	No grammatical evidentials	Tuscarora	Mithun 1986
tuy	78a	Part of the tense system	Tuyuca	Barnes 1984
tzo	78a	Separate particle	Tzotzil	Cowan 1969
tzu	78a	Separate particle	Tzutujil	Dayley 1985
una	78a	No grammatical evidentials	Una	Louwerse 1988
ung	78a	No grammatical evidentials	Ungarinjin	Rumsey 1982
uhi	78a	No grammatical evidentials	Uradhi	Crowley 1983
urk	78a	Separate particle	Urubú-Kaapor	Kakumasu 1986
usa	78a	No grammatical evidentials	Usan	Reesink 1987
vie	78a	No grammatical evidentials	Vietnamese	Nguyen 1997
wai	78a	Separate particle	Wai Wai	Hawkins 1998
wam	78a	No grammatical evidentials	Wambaya	Nordlinger 1998
wao	78a	Verbal affix or clitic	Waorani	Wilkendorf 1988
wra	78a	Verbal affix or clitic	Warao	Osborn 1967
wrd	78a	No grammatical evidentials	Wardaman	Merlan 1994
wrk	78a	No grammatical evidentials	Warekena	Aikhenvald 1998
war	78a	No grammatical evidentials	Wari'	Everett and Kern 1997
wrg	78a	No grammatical evidentials	Warrgamay	Dixon 1981
wat	78a	No grammatical evidentials	Watjarri	Douglas 1981
wur	78a	Verbal affix or clitic	Waurá	Derbyshire 1986
way	78a	Separate particle	Wayampi	Dooley 1990
wyn	78a	No grammatical evidentials	Wayana	Jackson 1972
wch	78a	No grammatical evidentials	Wichí	Hunt 1940
wic	78a	Verbal affix or clitic	Wichita	Rood 1976
win	78a	Verbal affix or clitic	Wintu	Pitkin 1984
wiy	78a	No grammatical evidentials	Wiyot	Teeter 1964
wol	78a	No grammatical evidentials	Woleaian	Sohn 1975
yag	78a	No grammatical evidentials	Yagua	Payne and Payne 1990
ykt	78a	Part of the tense system	Yakut	Buder 1989
yam	78a	Verbal affix or clitic	Yaminahua	Eakin 1991
yaq	78a	Verbal affix or clitic	Yaqui	Dedrick and Casad 1999
ywl	78a	No grammatical evidentials	Yawelmani	Newman 1946
yyg	78a	No grammatical evidentials	Yaygir	Crowley 1979
yid	78a	No grammatical evidentials	Yidiny	Dixon 1977a
yim	78a	No grammatical evidentials	Yimas	Foley 1991
yor	78a	No grammatical evidentials	Yoruba	Bamgbose 1966
yuc	78a	No grammatical evidentials	Yuchi	Wagner 1933-1938
yko	78a	Verbal affix or clitic	Yukaghir (Kolyma)	Maslova 1999
yuk	78a	No grammatical evidentials	Yukulta	Keen 1983
ypk	78a	Verbal affix or clitic	Yup'ik (Central)	Reed et al. 1977
yur	78a	No grammatical evidentials	Yurok	Robins 1958
zqc	78a	Verbal affix or clitic	Zoque (Copainalá)	Wonderly 1951b
zul	78a	No grammatical evidentials	Zulu	Doke 1927
zun	78a	No grammatical evidentials	Zuni	Newman 1965
